b0_m,total_energy_J,traverse_time_1km_s,stability_index
0.1,1.8998547397846195e+43,3.335641018694339e-06,7.474000355391837
0.16237767391887217,3.0837140998616175e+43,3.33564112787993e-06,4.60284974837491
0.26366508987303583,5.004031137466239e+43,3.3356414157642006e-06,2.8346567833423975
0.42813323987193935,8.116907539425364e+43,3.335642174814401e-06,1.745718309007592
0.6951927961775606,1.3157577030627769e+44,3.335644176163967e-06,1.075097497627534
1.1288378916846888,2.1305728719419797e+44,3.335649453018341e-06,0.6620968706354784
1.8329807108324356,3.443957631035861e+44,3.335663366201147e-06,0.40775117333327365
2.9763514416313175,5.55105665895948e+44,3.335700050128876e-06,0.2511128306573697
4.832930238571752,8.90525228996351e+44,3.3357967709058037e-06,0.15464738753606722
7.847599703514611,1.4174987779046885e+45,3.3360517763851384e-06,0.0952393169601215
12.742749857031335,2.227014515361098e+45,3.33672404337783e-06,0.05865296297304108
20.6913808111479,3.422625593559997e+45,3.3384959277300103e-06,0.03612132232066922
33.59818286283781,5.0692335933989624e+45,3.343163265871788e-06,0.022245251732523477
54.555947811685144,7.073887727048288e+45,3.355438282023801e-06,0.01369969848418801
88.58667904100822,9.068514590740048e+45,3.387589976743977e-06,0.008436934803631141
143.8449888287663,1.057578580879796e+46,3.4709352055764747e-06,0.005195871205696933
233.57214690901213,1.1435095232297398e+46,3.6816528484045555e-06,0.0031998679869579346
379.2690190732246,1.183324898530426e+46,4.186701082698708e-06,0.0019706329754154922
615.8482110660261,1.1997839929679012e+46,5.292093005020334e-06,0.0012136107925773507
1000.0,1.206245412675199e+46,7.458719917162792e-06,0.0007474000355391832
