項目,値,単位
WH総遅延,4.10,ms
最小検知時間,5,ms
快適応答時間,20,ms
許容限界,100,ms
力覚弁別閾値（指）,100,mN
位置弁別閾値（指）,1,mm
触覚周波数限界,200,Hz
