項目,値,単位
水平視野角,120,度
垂直視野角,90,度
角度分解能,0.016666666666666666,度
総画素数,38880000,ピクセル
非圧縮時必要帯域,5.60e+10,bps
圧縮後必要帯域,5.60e+08,bps
マイクロスロート容量,2.24e+37,bps
使用率,2.50e-29,%
