項目,値,単位
距離,2339.92,AU
送信電力,1.00e+15,W
送信口径,100.0,m
波長,1064.0,nm
ビーム拡散角,1.30e-08,rad
到達時ビーム半径,4.54e+06,m
推奨受光サイト直径,9.09e+05,m
受光効率,1.00e-02,
受光電力,1.00e+13,W
1サイトあたり受光電力,1.16e+10,W
